Book,Author,Genres,Avg_Rating,Num_Ratings
To Kill a Mockingbird,Harper Lee,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical']","4,27","5,691,311"
Pride and Prejudice,Jane Austen,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook']","4,28","3,944,155"
The Diary of a Young Girl,Anne Frank,"['Classics', 'Nonfiction', 'History', 'Biography', 'Memoir', 'Historical', 'Holocaust']","4,18","3,488,438"
Animal Farm,George Orwell,"['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'Politics', 'School', 'Literature']","3,98","3,575,172"
The Little Prince,Antoine de Saint-Exupéry,"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Philosophy', 'Young Adult']","4,32","1,924,063"
1984,George Orwell,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics']","4,19","4,201,429"
The Great Gatsby,F. Scott Fitzgerald,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Romance', 'Novels']","3,93","4,839,642"
The Catcher in the Rye,J.D. Salinger,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Novels', 'Coming Of Age']","3,81","3,315,881"
The Lord of the Rings,J.R.R. Tolkien,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy']","4,52","644,766"
The Book Thief,Markus Zusak,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'World War II']","4,39","2,364,659"
Jane Eyre,Charlotte Brontë,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Gothic', 'Literature', 'Historical']","4,14","1,975,582"
Lord of the Flies,William Golding,"['Classics', 'Fiction', 'Young Adult', 'School', 'Literature', 'Dystopia', 'Read For School']","3,69","2,738,919"
Romeo and Juliet,William Shakespeare,"['Classics', 'Plays', 'Fiction', 'Romance', 'School', 'Drama', 'Read For School']","3,74","2,469,086"
The Kite Runner,Khaled Hosseini,"['Fiction', 'Historical Fiction', 'Classics', 'Contemporary', 'Novels', 'Historical', 'Literature']","4,33","2,954,721"
The Giving Tree,Shel Silverstein,"['Childrens', 'Fiction', 'Picture Books', 'Classics', 'Poetry', 'Young Adult', 'Fantasy']","4,38","1,067,524"
Charlotte's Web,E.B. White,"['Classics', 'Fiction', 'Childrens', 'Fantasy', 'Young Adult', 'Middle Grade', 'Animals']","4,19","1,724,889"
Little Women,Louisa May Alcott,"['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Literature']","4,14","2,085,559"
Of Mice and Men,John Steinbeck,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels']","3,88","2,396,235"
Fahrenheit 451,Ray Bradbury,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'School', 'Literature', 'Novels']","3,97","2,215,889"
Green Eggs and Ham,Dr. Seuss,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Humor']","4,3","735,514"
Wuthering Heights,Emily Brontë,"['Classics', 'Fiction', 'Romance', 'Gothic', 'Historical Fiction', 'Literature', '19th Century']","3,88","1,684,275"
Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Literature', 'Adventure']","4,06","536,708"
The Picture of Dorian Gray,Oscar Wilde,"['Classics', 'Fiction', 'Horror', 'Fantasy', 'Gothic', 'Literature', 'Novels']","4,12","1,370,605"
Gone with the Wind,Margaret Mitchell,"['Classics', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'War', 'Literature']","4,3","1,179,002"
The Holy Bible: King James Version,Anonymous,"['Religion', 'Classics', 'Nonfiction', 'Christian', 'Philosophy', 'History', 'Christianity']","4,43","272,793"
Hamlet,William Shakespeare,"['Classics', 'Plays', 'Fiction', 'Drama', 'School', 'Literature', 'Theatre']","4,02","890,747"
The Adventures of Huckleberry Finn,Mark Twain,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Young Adult', 'Adventure', 'School']","3,83","1,237,071"
Tolkien On Fairy-stories,J.R.R. Tolkien,"['Fantasy', 'Classics', 'Essays', 'Fiction', 'Fairy Tales', 'Literary Criticism', 'Writing']","4,32","3,744"
Les Misérables,Victor Hugo,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'France', 'Historical', 'Novels']","4,2","769,757"
The Alchemist,Paulo Coelho,"['Fiction', 'Classics', 'Fantasy', 'Philosophy', 'Novels', 'Spirituality', 'Self Help']","3,9","2,792,673"
Brave New World / Brave New World Revisited,Aldous Huxley,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Fantasy']","4,16","159,408"
Crime and Punishment,Fyodor Dostoevsky,"['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Philosophy', 'Novels']","4,26","820,645"
The Help,Kathryn Stockett,"['Fiction', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction', 'Classics', 'Contemporary']","4,47","2,600,987"
The Secret Garden,Frances Hodgson Burnett,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Fantasy']","4,15","1,097,941"
Memoirs of a Geisha,Arthur Golden,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Classics', 'Japan', 'Adult']","4,14","1,929,777"
The Odyssey,Homer,"['Classics', 'Fiction', 'Poetry', 'Mythology', 'Fantasy', 'School', 'Literature']","3,8","1,017,517"
A Christmas Carol,Charles Dickens,"['Classics', 'Fiction', 'Christmas', 'Fantasy', 'Audiobook', 'Literature', 'Historical Fiction']","4,07","779,092"
The Outsiders,S.E. Hinton,"['Classics', 'Young Adult', 'Fiction', 'School', 'Read For School', 'Realistic Fiction', 'Coming Of Age']","4,12","1,220,608"
One Hundred Years of Solitude,Gabriel García Márquez,"['Fiction', 'Classics', 'Magical Realism', 'Literature', 'Fantasy', 'Novels', 'Historical Fiction']","4,11","911,512"
The Grapes of Wrath,John Steinbeck,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Novels', 'School', 'American']",4,"864,334"
A Thousand Splendid Suns,Khaled Hosseini,"['Fiction', 'Historical Fiction', 'Contemporary', 'Historical', 'Novels', 'War', 'Classics']","4,42","1,428,213"
Where the Sidewalk Ends,Shel Silverstein,"['Poetry', 'Childrens', 'Classics', 'Fiction', 'Humor', 'Young Adult', 'Picture Books']","4,32","1,336,522"
The Count of Monte Cristo,Alexandre Dumas,"['Classics', 'Fiction', 'Historical Fiction', 'Adventure', 'Literature', 'France', 'Historical']","4,29","867,955"
Where the Wild Things Are,Maurice Sendak,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult']","4,24","963,323"
The Color Purple,Alice Walker,"['Classics', 'Fiction', 'Historical Fiction', 'Feminism', 'LGBT', 'Historical', 'African American']","4,26","633,92"
A Tale of Two Cities,Charles Dickens,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'School']","3,86","911,758"
The Adventures of Tom Sawyer,Mark Twain,"['Classics', 'Fiction', 'Adventure', 'Historical Fiction', 'Young Adult', 'Literature', 'Childrens']","3,92","892,115"
Life of Pi,Yann Martel,"['Fiction', 'Fantasy', 'Classics', 'Adventure', 'Contemporary', 'Magical Realism', 'Novels']","3,93","1,552,035"
One Flew Over the Cuckoo's Nest,Ken Kesey,"['Classics', 'Fiction', 'Psychology', 'Literature', 'Novels', 'Mental Health', 'School']","4,2","705,198"
