title,authors,categories,average_rating
Gilead,Marilynne Robinson,Fiction,"3,85"
Spider's Web,Charles Osborne;Agatha Christie,Detective and mystery stories,"3,83"
The One Tree,Stephen R. Donaldson,American fiction,"3,97"
Rage of angels,Sidney Sheldon,Fiction,"3,93"
The Four Loves,Clive Staples Lewis,Christian life,"4,15"
The Problem of Pain,Clive Staples Lewis,Christian life,"4,09"
An Autobiography,Agatha Christie,"Authors, English","4,27"
Empires of the Monsoon,Richard Hall,"Africa, East","4,41"
The Gap Into Madness,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)","4,15"
Master of the Game,Sidney Sheldon,Adventure stories,"4,11"
If Tomorrow Comes,Sidney Sheldon,Adventure stories,"4,04"
Assassin's Apprentice,Robin Hobb,American fiction,"4,15"
Warhost of Vastmark,Janny Wurts,Fiction,"4,03"
The Once and Future King,Terence Hanbury White,Arthurian romances,"4,04"
Murder in LaMut,Raymond E. Feist;Joel Rosenberg,Adventure stories,"3,7"
Jimmy the Hand,Raymond E. Feist;S. M. Stirling,Fantasy fiction,"3,95"
Witness for the Prosecution & Selected Plays,Agatha Christie,English drama,"4,05"
The Little House,Philippa Gregory,Country life,"3,66"
Mystical Paths,Susan Howatch,English fiction,"4,23"
Glittering Images,Susan Howatch,English fiction,"4,07"
Glamorous Powers,Susan Howatch,Clergy,"4,2"
The Mad Ship,Robin Hobb,Fantasy fiction,"4,24"
Post Captain,Patrick O'Brian,"Aubrey, Jack (Fictitious character)","4,29"
The Reverse of the Medal,Patrick O'Brian,Adventure stories,"4,41"
Miss Marple,Agatha Christie,"Detective and mystery stories, English","4,2"
The Years of Rice and Salt,Kim Stanley Robinson,Black Death,"3,73"
Spares,Michael Marshall Smith,Human cloning,"4,13"
Gravity,Tess Gerritsen,Science fiction,"4,04"
The Wise Woman,Philippa Gregory,Great Britain,"3,31"
Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,American fiction,"3,26"
The White Album,Joan Didion,American essays,"4,17"
The Bonesetter's Daughter,Amy Tan,China,"3,98"
The Lexus and the Olive Tree,Thomas L. Friedman,Capitalism,"3,59"
Tis,Frank McCourt,Ireland,"3,68"
Ocean Star Express,Mark Haddon;Peter Sutton,Juvenile Fiction,"3,5"
A Small Pinch of Weather,Joan Aiken,"Children's stories, English","4,27"
The Princess of the Chalet School,Elinor Mary Brent-Dyer,Juvenile Fiction,"4,1"
Koko,Peter Straub,Male friendship,"3,56"
Tree and Leaf,John Ronald Reuel Tolkien,Literary Collections,"4,09"
Partners in Crime,Agatha Christie,"Beresford, Tommy (Fictitious character)","3,77"
Murder in Mesopotamia,Agatha Christie,Detective and mystery stories,"3,89"
"The Lord of the Rings, the Return of the King",Jude Fisher,Imaginary wars and battles,"4,59"
All Families are Psychotic,Douglas Coupland,Dysfunctional families,"3,69"
Death in the Clouds,Agatha Christie,Detective and mystery stories,"3,8"
Appointment with Death,Agatha Christie,Detective and mystery stories,"3,86"
Hallowe'en Party,Agatha Christie,"Poirot, Hercule (Fictitious character)","3,66"
Hercule Poirot's Christmas,Agatha Christie,Christmas stories,"3,93"
The Big Four,Agatha Christie,Detective and mystery stories,"3,59"
The Thirteen Problems,Agatha Christie,"Detective and mystery stories, English","3,89"
They Do it with Mirrors,Agatha Christie,American fiction,"3,75"
A Murder is Announced,Agatha Christie,"Detective and mystery stories, English","3,98"
The Mirror Crack'd from Side to Side,Agatha Christie,"Marple, Jane (Fictitious character)","3,91"
Mrs McGinty's Dead,Agatha Christie,Belgians,"3,83"
Taken at the Flood,Agatha Christie,Fiction,"3,71"
The Hollow,Agatha Christie,Detective and mystery stories,"3,79"
Third Girl,Agatha Christie,Belgians,"3,62"
The Secret of Chimneys,Agatha Christie,"Battle, Superintendent (Fictitious character)","3,86"
The Lord of the Rings,J. R. R. Tolkien,"Baggins, Frodo (Fictitious character)","4,49"
The Metaphysical Club,Louis Menand,Cambridge (Mass.),"4,07"
The illustrated man,Ray Bradbury,Fiction,"4,14"
Wilkins' Tooth,Diana Wynne Jones,Business enterprises,"3,59"
Cut,Patricia McCormick,Emotional problems,"3,76"
The Lord of the Rings,Gary Russell,Characters and characteristics in motion pictures,"4,54"
The Lord of the Rings,John Ronald Reuel Tolkien,"Fantasy fiction, English","4,49"
The Fellowship of the Ring,John Ronald Reuel Tolkien;Alan Lee,"Baggins, Frodo (Fictitious character)","4,35"
Lirael,Garth Nix,Fantasy fiction,"4,3"
Tales from the Perilous Realm,John Ronald Reuel Tolkien,"Fairy tales, English","4,08"
Breaking Open the Head,Daniel Pinchbeck,Hallucinogenic drugs,"4,06"
The Yiddish Policemen's Union,Michael Chabon,Fiction,"3,7"
"Beware, Princess Elizabeth",Carolyn Meyer,Children's stories,"3,88"
The Family Way,Tony Parsons,Parenthood,"3,51"
Endless Night,Agatha Christie,FICTION,"3,77"
How to be Alone,Jonathan Franzen,Literary Collections,"3,6"
The Mysterious Mr. Quin,Agatha Christie,Detective and mystery stories,"3,72"
The Listerdale Mystery,Agatha Christie,Detective and mystery stories,"3,55"
The Real Trial of Oscar Wilde,Merlin Holland,Biography & Autobiography,"4,04"
I Can Read with Me Eyes Shut!,Dr. Seuss,"Authors, American","4,2"
"Oh, the Places You'll Go!",Dr. Seuss,Adventure stories,"4,35"
If I Die in a Combat Zone,Tim O'Brien,"Vietnam War, 1961-1975","3,95"
